14143892,06/06/2013,22:12:00,"Assault, Simple",Unknown/Not Available
14252884,11/20/2013,18:07:00,Rape,Unknown/Not Available
14071948,02/04/2013,23:03:00,"Assault, Simple",Unknown/Not Available
14075453,02/10/2013,18:06:00,Runaway,Unknown/Not Available
14095073,03/16/2013,16:58:00,Runaway,Unknown/Not Available
14263073,12/15/2013,10:43:00,"Assault, Simple",Unknown/Not Available
14058739,01/08/2013,20:00:00,Disorderly Conduct,Unknown/Not Available
14095479,03/16/2013,15:56:00,"Assault, Simple",Unknown/Not Available
14244927,11/13/2013,15:30:00,"Assault, Simple",Unknown/Not Available
14080888,02/19/2013,15:45:00,"Assault, Simple",Unknown/Not Available
14206232,09/13/2013,23:28:00,"Assault, Simple",Unknown/Not Available
14107225,03/31/2013,21:34:00,Arson,Unknown/Not Available
14264471,12/17/2013,19:43:00,Disorderly Conduct,Unknown/Not Available
14173784,07/26/2013,16:31:00,Runaway,Unknown/Not Available
14133711,05/20/2013,22:01:00,"Assault, Simple",Unknown/Not Available
14060216,01/14/2013,14:22:00,Larceny,Unknown/Not Available
14150218,06/17/2013,11:55:00,Aggravated Assault,Unknown/Not Available
14086339,02/28/2013,17:43:00,Burglary,Unknown/Not Available
14127547,05/09/2013,19:42:00,"Assault, Simple",Unknown/Not Available
14099211,03/24/2013,13:34:00,Disorderly Conduct,Unknown/Not Available
14118078,04/23/2013,20:04:00,Aggravated Assault,Unknown/Not Available
14215270,09/16/2013,16:35:00,Rape,Unknown/Not Available
14274449,12/11/2013,13:15:00,Arson,Unknown/Not Available
14159930,07/02/2013,19:56:00,"Assault, Simple",Unknown/Not Available
14194796,08/27/2013,20:13:00,Runaway,Unknown/Not Available
14087300,03/03/2013,02:50:00,"Assault, Simple",Unknown/Not Available
14051148,01/04/2013,12:02:00,Runaway,Unknown/Not Available
14197078,08/30/2013,18:23:00,Runaway,Unknown/Not Available
14109816,04/10/2013,20:23:00,Runaway,Unknown/Not Available
14062659,01/20/2013,08:23:00,Runaway,Unknown/Not Available
14163775,07/10/2013,00:28:00,Runaway,Unknown/Not Available
14237271,10/22/2013,19:50:00,Sex Offenses,Unknown/Not Available
14072400,01/30/2013,15:15:00,Sex Offenses,Unknown/Not Available
14189714,08/19/2013,15:20:00,Larceny,Unknown/Not Available
14065528,01/25/2013,17:29:00,Runaway,Unknown/Not Available
14086797,03/02/2013,15:13:00,Runaway,Unknown/Not Available
14095503,03/17/2013,09:26:00,Runaway,Unknown/Not Available
14068582,01/30/2013,13:00:00,Disorderly Conduct,Unknown/Not Available
14215891,09/18/2013,06:54:00,Sex Offenses,Unknown/Not Available
14053850,01/08/2013,19:26:00,Trespass,Unknown/Not Available
14088181,02/22/2013,14:41:00,Rape,Unknown/Not Available
14181159,08/05/2013,21:34:00,Larceny,Unknown/Not Available
14165803,07/12/2013,10:34:00,"Assault, Simple",Unknown/Not Available
14223629,08/18/2013,01:25:00,Arson,Unknown/Not Available
14067804,01/07/2013,02:28:00,Aggravated Assault,Unknown/Not Available
14100573,03/22/2013,17:12:00,Disorderly Conduct,Unknown/Not Available
14262400,12/14/2013,08:31:00,Runaway,Unknown/Not Available
14073503,02/07/2013,16:23:00,Runaway,Unknown/Not Available
14200199,09/08/2013,01:30:00,Runaway,Unknown/Not Available
14126901,05/08/2013,15:34:00,"Assault, Simple",Unknown/Not Available
14093301,03/13/2013,12:15:00,Runaway,Unknown/Not Available
14080212,02/19/2013,15:17:00,Runaway,Unknown/Not Available
14254296,11/29/2013,15:22:00,"Assault, Simple",Unknown/Not Available
14093282,03/12/2013,19:54:00,"Assault, Simple",Unknown/Not Available
14107052,04/05/2013,15:51:00,Aggravated Assault,Unknown/Not Available
14163320,07/08/2013,17:18:00,"Assault, Simple",Unknown/Not Available
